"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
" CAIXA DE ASSISTÊNCIA DO SETOR DE ENERGIA -EVIDA -ASSISTÊNCIA À SAÚDE (418374)";"Médico Hospitalar";"Pequeno";"91";"123";"   3,11";"   1,84";"   3,01";"   4,51";"    5,04";"   8,08";"   8,32";"   9,06";"   5,02";"   6,01";"   5,05";"   7,52";"202208";"13/09/2022 15:15:14"
"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668)";"Médico Hospitalar";"Médio";"198";"202";"   0,20";"   0,20";"0,00";"0,00";"0,00";"   0,21";"   0,21";"   0,21";"   0,21";"   0,41";"   0,62";"   0,62";"202208";"13/09/2022 15:15:14"
"ADVANCE PLANOS DE SAÚDE LTDA (335657)";"Médico Hospitalar";"Pequeno";"33";"40";"  12,79";"  12,72";"   4,22";"  29,43";"   25,14";"  29,19";"   8,30";"  20,64";"  28,76";"  24,54";"  24,41";"  20,19";"202208";"13/09/2022 15:15:14"
"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   0,66";"   0,66";"    0,66";"0,00";"0,00";"   0,66";"   1,32";"   3,28";"   2,62";"   2,62";"202208";"13/09/2022 15:15:14"
"ALCANCE SAÚDE EIRELI (416975)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,24";"   2,25";"   6,78";"   4,54";"   4,56";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ALICE OPERADORA LTDA. (421928)";"Médico Hospitalar";"Pequeno";"67";"72";"   4,80";"   4,98";"   4,19";"0,00";"    1,19";"   2,53";"   2,74";"   4,50";"   3,48";"   4,15";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ALLIANZ SAÚDE S/A (000515)";"Médico Hospitalar";"Médio";"34";"18";"   6,92";"  13,01";"  16,05";"  16,01";"   11,13";"   9,28";"  11,01";"  12,16";"  14,18";"  15,21";"  14,79";"  13,54";"202208";"13/09/2022 15:15:14"
"ALPHA SERVIÇOS DE SAÚDE LTDA (422754)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800)";"Médico Hospitalar";"Grande";"7";"11";"  10,53";"  11,01";"  10,54";"  11,02";"   10,39";"   8,34";"   7,21";"   6,08";"   8,44";"   9,00";"  10,64";"   8,91";"202208";"13/09/2022 15:15:14"
"AMAZÔNIA PLANOS DE SAÚDE LTDA (419052)";"Médico Hospitalar";"Pequeno";"123";"88";"   1,63";"   3,28";"   3,31";"   3,34";"    1,68";"   2,54";"   2,55";"   4,28";"   3,43";"   3,43";"   3,42";"   4,28";"202208";"13/09/2022 15:15:14"
"AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330)";"Médico Hospitalar";"Médio";"122";"189";"   1,12";"   0,38";"0,00";"   1,16";"    2,33";"   2,33";"   1,94";"   2,34";"   2,73";"   3,53";"   1,97";"   3,56";"202208";"13/09/2022 15:15:14"
"AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734)";"Médico Hospitalar";"Médio";"6";"5";"  26,11";"  28,98";"  28,00";"  33,60";"   33,83";"  33,58";"  25,48";"  22,65";"  22,74";"  24,91";"  24,25";"  23,95";"202208";"13/09/2022 15:15:14"
"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338)";"Médico Hospitalar";"Pequeno";"20";"26";"  28,18";"  27,50";"  21,48";"  25,78";"   26,89";"  25,94";"  24,00";"  21,69";"  24,80";"  28,93";"  28,97";"  23,43";"202208";"13/09/2022 15:15:14"
"AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081)";"Médico Hospitalar";"Médio";"56";"50";"   4,02";"   5,49";"   5,27";"   6,62";"    6,61";"   8,71";"   7,94";"   6,78";"   5,75";"   9,94";"  14,07";"  14,21";"202208";"13/09/2022 15:15:14"
"AMHA SAUDE S/A (418587)";"Médico Hospitalar";"Pequeno";"39";"52";"  10,09";"   7,50";"   2,83";"   1,70";"    1,54";"   1,88";"   2,13";"   1,87";"   1,42";"   1,89";"   2,36";"   2,33";"202208";"13/09/2022 15:15:14"
"AMHE MED ASSISTENCIA A SAUDE LTDA - EPP (421731)";"Médico Hospitalar";"Pequeno";"51";"53";"   7,21";"   7,27";"   7,37";"  10,14";"    7,89";"   6,58";"   8,55";"   7,17";"   9,46";"   9,93";"  10,43";"   8,69";"202208";"13/09/2022 15:15:14"
"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305)";"Médico Hospitalar";"Grande";"19";"19";"   7,88";"   9,28";"   9,85";"  10,52";"   10,79";"  11,89";"  12,40";"  13,74";"  14,10";"  14,78";"  14,64";"  14,04";"202208";"13/09/2022 15:15:14"
"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
