<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	1.13753	1.13784	1.13728	1.13730	419	0	0
2022.01.03	01:15:00	1.13729	1.13762	1.13697	1.13734	194	0	0
2022.01.03	01:30:00	1.13734	1.13744	1.13697	1.13729	160	0	0
2022.01.03	01:45:00	1.13728	1.13729	1.13693	1.13729	151	0	0
2022.01.03	02:00:00	1.13729	1.13757	1.13706	1.13709	194	0	0
2022.01.03	02:15:00	1.13709	1.13711	1.13665	1.13665	191	0	0
2022.01.03	02:30:00	1.13666	1.13669	1.13609	1.13627	238	0	0
2022.01.03	02:45:00	1.13626	1.13636	1.13611	1.13620	205	0	0
2022.01.03	03:00:00	1.13620	1.13647	1.13610	1.13630	174	0	0
2022.01.03	03:15:00	1.13629	1.13652	1.13600	1.13614	201	0	0
2022.01.03	03:30:00	1.13615	1.13617	1.13500	1.13576	407	0	0
2022.01.03	03:45:00	1.13574	1.13602	1.13519	1.13586	286	0	0
2022.01.03	04:00:00	1.13587	1.13588	1.13490	1.13497	304	0	0
2022.01.03	04:15:00	1.13496	1.13511	1.13482	1.13494	234	0	0
2022.01.03	04:30:00	1.13492	1.13499	1.13448	1.13490	160	0	0
2022.01.03	04:45:00	1.13490	1.13492	1.13424	1.13426	249	0	0
2022.01.03	05:00:00	1.13426	1.13469	1.13424	1.13443	176	0	0
2022.01.03	05:15:00	1.13442	1.13444	1.13424	1.13441	112	0	0
2022.01.03	05:30:00	1.13442	1.13466	1.13413	1.13465	158	0	0
2022.01.03	05:45:00	1.13465	1.13501	1.13457	1.13482	195	0	0
2022.01.03	06:00:00	1.13482	1.13482	1.13431	1.13467	127	0	0
2022.01.03	06:15:00	1.13464	1.13491	1.13459	1.13485	102	0	0
2022.01.03	06:30:00	1.13483	1.13483	1.13464	1.13465	64	0	0
2022.01.03	06:45:00	1.13465	1.13466	1.13387	1.13405	274	0	0
2022.01.03	07:00:00	1.13405	1.13413	1.13391	1.13400	136	0	0
2022.01.03	07:15:00	1.13400	1.13410	1.13366	1.13368	135	0	0
2022.01.03	07:30:00	1.13368	1.13408	1.13362	1.13407	118	0	0
2022.01.03	07:45:00	1.13408	1.13410	1.13372	1.13380	143	0	0
2022.01.03	08:00:00	1.13381	1.13421	1.13378	1.13400	208	0	0
